team1_defender_overall_rating,team1_defender_potential,team1_defender_market_value_in_eur,team1_goalkeeper_overall_rating,team1_goalkeeper_potential,team1_goalkeeper_market_value_in_eur,team1_attack_overall_rating,team1_attack_potential,team1_attack_market_value_in_eur,team1_midfield_overall_rating,team1_midfield_potential,team1_midfield_market_value_in_eur,team2_defender_overall_rating,team2_defender_potential,team2_defender_market_value_in_eur,team2_goalkeeper_overall_rating,team2_goalkeeper_potential,team2_goalkeeper_market_value_in_eur,team2_attack_overall_rating,team2_attack_potential,team2_attack_market_value_in_eur,team2_midfield_overall_rating,team2_midfield_potential,team2_midfield_market_value_in_eur,home_form,away_form,home_win_rate,home_draw_rate,away_win_rate,away_draw_rate,competition_id
69.25,69.25,375000.0,74.5,74.5,325000.0,73.0,74.75,581250.0,71.25,71.25,581250.0,70.0,70.0,416666.6666666667,75.0,75.0,300000.0,69.0,69.0,837500.0,71.0,71.0,583333.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,GB1
69.0,69.0,287500.0,76.0,78.5,10100000.0,72.5,72.5,250000.0,72.2,72.2,445000.0,78.66666666666667,78.66666666666667,900000.0,,,,80.8,80.8,2700000.0,82.0,82.0,1000000.0,0.0,0.5,0.0,0.0,0.0,0.0,GB1
70.66666666666667,71.0,441666.6666666667,,,,69.0,69.0,250000.0,71.75,72.5,462500.0,63.0,63.0,200000.0,73.0,73.0,75000.0,77.0,83.0,12000000.0,73.0,74.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
69.14285714285714,69.14285714285714,450000.0,71.0,71.0,200000.0,72.75,76.25,1675000.0,72.0,72.0,212500.0,68.75,68.75,525000.0,65.0,65.0,250000.0,71.0,71.0,75000.0,69.33333333333333,70.66666666666667,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
72.25,72.5,381250.0,72.5,72.5,350000.0,73.5,73.5,175000.0,70.33333333333333,70.33333333333333,250000.0,76.0,78.0,8100000.0,73.5,74.0,450000.0,77.75,79.0,5900000.0,76.5,77.25,2193750.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
74.0,74.5,633333.3333333334,69.0,71.5,250000.0,72.0,72.0,1375000.0,75.75,75.75,1462500.0,69.25,69.25,375000.0,74.5,74.5,325000.0,72.0,75.5,950000.0,71.2,71.2,510000.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
68.75,68.75,525000.0,65.0,65.0,250000.0,69.0,69.0,141666.66666666666,69.33333333333333,70.66666666666667,250000.0,69.75,69.75,575000.0,75.0,75.0,300000.0,71.0,71.0,725000.0,70.0,70.0,456250.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
76.2,77.8,6520000.0,73.5,74.0,450000.0,77.75,79.0,5900000.0,73.66666666666667,78.66666666666667,3200000.0,80.25,80.25,1350000.0,75.0,75.0,375000.0,87.0,87.0,8500000.0,83.0,83.0,1500000.0,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.25,GB1
74.0,74.5,633333.3333333334,69.0,71.5,250000.0,72.0,78.0,3000000.0,75.75,75.75,1462500.0,78.6,81.0,4480000.0,75.0,76.5,1775000.0,69.0,77.0,2800000.0,76.42857142857143,78.42857142857143,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
71.0,71.83333333333333,608333.3333333334,72.0,72.0,225000.0,70.0,75.0,600000.0,71.83333333333333,71.83333333333333,537500.0,76.2,77.8,6520000.0,73.5,74.0,450000.0,76.5,77.0,5750000.0,73.75,73.75,343750.0,0.0,0.0,0.0,0.0,0.0,0.0,GB1
